TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ROMI3;13,33;7,32;5,10;1,04;0,52;33,04;19,20;15,83;4,20;5,96;1,76;0,44;0,81;1,49;-1,34;2,31;20,47;10,20;11,62;0,50;0,50;0,64;18,80;43,87;4.118.530,73;12,78;2,62;0,36;1.182.824.819,85
RPAD3;7,94;;20,11;0,61;0,61;;;;25,74;23,32;-2,36;-0,06;;11,67;-0,64;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;6.218,43;13,00;0,39;-0,43;670.830.390,38
RPAD5;7,90;6,32;20,01;0,61;0,61;;;;25,61;23,32;-2,36;-0,06;;11,61;-0,64;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;35.606,86;13,00;0,39;-0,43;670.830.390,38
RPAD6;7,68;;19,45;0,59;0,59;;;;24,89;23,32;-2,36;-0,06;;11,29;-0,62;12,57;3,04;3,02;2,27;1,00;0,00;0,00;;-5,15;4.973,86;13,00;0,39;-0,41;670.830.390,38
RPMG3;2,10;;-0,17;-0,03;0,02;-13,15;-20,51;-16,72;-0,14;-0,14;0,00;;0,03;-0,03;-0,38;0,55;-16,32;-13,94;20,03;-0,85;1,85;0,83;48,30;;15.458,59;-74,73;-12,19;0,02;142.152.420,90
RRRP3;26,41;;-172,31;1,22;0,33;31,72;14,54;-0,87;10,34;23,00;12,66;1,50;1,50;109,95;-0,38;1,02;-0,71;-0,19;3,11;0,27;0,73;0,22;118,19;;173.149.583,59;21,61;-0,15;1,47;6.338.001.922,07
RSID3;3,83;;-0,15;-0,06;0,12;125,92;660,98;1.099,95;-0,25;-2,22;-1,98;;;-0,06;-0,26;0,22;-41,43;-82,60;50,63;-1,99;3,00;-0,08;;;243.698,36;-62,42;-25,86;0,00;76.600.000,00
RSUL3;0,00;;0,00;0,00;0,00;41,84;27,58;16,95;0,00;1,40;-0,54;-0,30;0,00;0,00;0,00;2,32;34,14;17,29;36,19;0,51;0,49;1,02;26,29;10,59;;29,31;10,01;0,00;191.333.853,00
RSUL4;76,68;3,80;7,66;2,62;1,33;41,84;27,58;16,95;4,71;1,40;-0,54;-0,30;1,30;4,32;-2,87;2,32;34,14;17,29;36,19;0,51;0,49;1,02;26,29;10,59;165.314,10;29,31;10,01;-4,50;191.333.853,00
SANB11;31,87;5,23;12,78;1,05;0,11;16,51;6,05;9,32;19,69;19,69;;;1,19;;-0,11;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;46.044.677,09;30,24;2,49;-0,32;119.489.092.297,69
SANB3;15,02;5,29;12,05;0,99;0,10;16,51;6,05;9,32;18,56;19,69;;;1,12;;-0,10;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;1.263.520,86;15,12;1,25;-0,30;119.489.092.297,69
SANB4;16,99;5,14;13,63;1,12;0,11;16,51;6,05;9,32;20,99;19,69;;;1,27;;-0,12;;8,25;0,83;;0,10;0,90;0,09;10,04;0,94;1.327.122,77;15,12;1,25;-0,34;119.489.092.297,69
SAPR11;27,52;5,51;5,58;0,88;0,45;60,10;36,99;24,53;3,70;5,66;1,96;0,46;1,37;10,54;-0,53;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;28.569.145,64;31,42;4,93;0,18;8.317.675.176,58
SAPR3;5,28;5,32;5,36;0,84;0,44;60,10;36,99;24,53;3,55;5,66;1,96;0,46;1,31;10,11;-0,51;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;1.598.029,59;6,28;0,99;0,17;8.317.675.176,58
SAPR4;5,53;5,58;5,61;0,88;0,46;60,10;36,99;24,53;3,72;5,66;1,96;0,46;1,38;10,59;-0,54;1,41;15,68;8,13;11,45;0,52;0,48;0,33;7,96;16,77;12.103.989,86;6,28;0,99;0,18;8.317.675.176,58
SBFG3;10,73;1,27;14,32;1,06;0,32;47,85;7,45;2,67;5,13;10,95;5,81;1,20;0,38;1,48;-0,66;1,71;7,42;2,22;8,13;0,30;0,70;0,83;26,04;-5,21;22.339.223,36;10,10;0,75;-0,30;2.614.782.755,40
SBSP3;72,50;1,76;16,63;1,67;0,84;35,05;21,66;12,29;9,44;12,49;3,05;0,54;2,04;-3.957,39;-0,95;1,00;10,07;5,05;8,62;0,50;0,50;0,41;8,59;3,41;172.545.091,50;43,30;4,36;-7,56;49.554.465.502,50
SCAR3;27,25;;41,55;1,03;0,45;47,81;36,38;4,81;5,49;10,90;5,41;1,02;2,00;1,64;-0,69;4,63;2,48;1,08;7,97;0,44;0,56;0,23;-6,96;-20,50;644.348,24;26,43;0,66;-0,26;1.573.341.942,75
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;7,36;;-5,95;0,79;0,28;50,44;3,87;-8,88;13,68;21,23;7,55;0,43;0,53;11,66;-0,35;1,13;-13,22;-4,64;3,35;0,35;0,65;0,52;6,36;;9.106.252,09;9,35;-1,24;-0,08;947.390.681,60
SEQL3;0,65;;-0,47;1,80;0,14;5,07;-29,02;-45,21;-0,73;-3,86;-3,13;7,68;0,21;-0,95;-0,18;0,64;-382,42;-28,65;-31,37;0,07;0,93;0,63;;;11.174.024,77;0,36;-1,38;0,00;228.694.443,25
SGPS3;1,25;;-0,08;0,38;0,02;2,36;-39,02;-77,23;-0,16;-2,39;-2,23;5,30;0,06;-0,07;-0,03;0,45;-470,13;-30,47;-33,93;0,06;0,94;0,39;-2,95;;1.817.763,59;3,31;-15,56;0,00;62.500.000,00
SHOW3;2,10;;8,99;0,93;0,20;26,58;15,48;3,86;2,24;-0,22;-2,46;-1,02;0,35;4,94;-0,65;1,06;10,30;2,25;33,65;0,22;0,77;0,58;-12,84;-18,71;430.080,82;2,27;0,23;-0,04;141.566.520,90
SHUL3;111,89;0,19;129,20;31,86;16,67;27,03;17,56;15,32;112,72;52,08;-0,06;-0,02;19,79;42,23;-48,65;2,50;24,66;12,90;16,38;0,52;0,48;0,84;24,97;50,47;;3,51;0,87;5,47;18.495.052.454,20
SHUL4;6,89;3,34;7,96;1,96;1,03;27,03;17,56;15,32;6,94;52,08;-0,06;-0,02;1,22;2,60;-3,00;2,50;24,66;12,90;16,38;0,52;0,48;0,84;24,97;50,47;2.507.338,55;3,51;0,87;0,34;18.495.052.454,20
SIMH3;9,20;0,21;148,53;2,20;0,12;28,13;18,02;0,17;1,39;7,38;5,98;9,48;0,25;0,92;-0,18;1,75;1,48;0,08;10,67;0,06;0,89;0,49;27,43;;28.649.052,23;4,17;0,06;-1,65;7.713.352.762,80
SLCE3;18,45;7,33;7,11;1,57;0,49;31,62;24,57;11,95;3,46;4,90;1,45;0,66;0,85;2,08;-0,95;1,97;22,13;6,95;18,45;0,31;0,67;0,58;34,00;26,41;63.719.524,32;11,72;2,59;-0,51;8.179.433.260,20
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;4.387,67;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;207.054,67;-39,57;7,15;-0,01;16.497.692,59
SMFT3;25,22;1,40;32,70;3,14;1,12;40,84;32,69;21,35;21,36;22,37;1,01;0,15;6,98;13,41;-1,52;1,47;9,59;3,43;7,57;0,36;0,64;0,16;31,49;;54.853.465,68;8,04;0,77;-0,12;14.785.030.528,58
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;28,35;4,38;8,23;1,70;0,53;30,78;37,91;19,59;4,25;7,04;2,79;1,11;1,61;3,27;-0,76;2,17;20,63;6,48;13,31;0,31;0,69;0,33;14,04;19,93;59.962.152,68;16,70;3,45;-0,82;10.036.221.177,15
SNSY3;5,39;;-0,14;-0,02;0,08;25,14;6,63;-33,10;0,72;3,65;2,23;;0,05;2,80;-0,20;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;5.822,13;-245,68;-37,32;0,00;81.755.727,20
SNSY5;3,75;;-0,10;-0,02;0,06;25,14;6,63;-33,10;0,50;3,65;2,23;;0,03;1,95;-0,14;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;50.606,50;-245,68;-37,32;0,00;81.755.727,20
SNSY6;13,33;;-0,36;-0,05;0,20;25,14;6,63;-33,10;1,78;3,65;2,23;;0,12;6,92;-0,49;1,05;-15,19;-56,19;-3,24;-3,70;4,73;1,70;16,67;;;-245,68;-37,32;-0,01;81.755.727,20
SOJA3;15,90;6,04;9,68;2,02;0,74;15,15;11,93;9,98;8,10;7,70;-0,40;-0,10;0,97;1,83;-2,71;2,27;20,81;7,66;10,68;0,37;0,50;0,77;53,23;;3.717.730,18;7,89;1,64;0,21;1.862.531.183,40
SOMA3;7,73;1,31;19,85;0,79;0,56;56,57;8,12;5,86;14,31;17,03;2,72;0,15;1,16;4,17;-0,82;1,76;4,00;2,84;3,69;0,71;0,29;0,49;36,69;30,81;111.277.370,18;9,73;0,39;-29,91;6.066.097.193,29
SOND3;46,01;12,04;9,09;1,97;1,17;39,48;15,86;7,34;4,21;3,72;-0,97;-0,45;0,67;3,45;-3,02;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;;23,41;5,06;-0,89;125.887.160,00
SOND5;54,00;11,29;10,67;2,31;1,38;39,48;15,86;7,34;4,94;3,72;-0,97;-0,45;0,78;4,05;-3,54;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;14.400,00;23,41;5,06;-1,05;125.887.160,00
SOND6;54,20;11,24;10,71;2,32;1,38;39,48;15,86;7,34;4,96;3,72;-0,97;-0,45;0,79;4,06;-3,55;2,25;21,62;12,89;25,53;0,60;0,40;1,76;23,50;31,16;5.420,00;23,41;5,06;-1,05;125.887.160,00
SPRI3;21,72;;-3,32;2,45;2,36;;;;-3,00;-2,46;0,17;-0,14;;4,61;-4,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;-0,01;48.073.731,88
SPRI5;8,52;;-1,30;0,96;0,93;;;;-1,18;-2,46;0,17;-0,14;;1,81;-1,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRI6;11,00;;-1,68;1,24;1,20;;;;-1,52;-2,46;0,17;-0,14;;2,34;-2,49;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRT3B;76,40;;1.090,85;6.770,92;5.953,08;;;;772,64;772,51;-0,13;-1,14;;6.770,92;;8,28;620,70;545,73;876,33;0,88;0,12;0,00;;;;0,01;0,07;-8,90;370.531.748,80
SQIA3;27,37;0,20;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;3,18;0,40;0,58;0,41;35,51;;39.651.585,00;7,40;-0,25;0,44;2.406.971.773,64
SRNA3;10,05;;120,97;1,23;0,35;32,08;29,57;1,86;7,61;18,16;10,54;1,71;2,25;-2,67;-0,40;0,48;1,02;0,29;5,17;0,28;0,72;0,15;;;10.555.420,23;8,16;0,08;;6.258.442.087,80
STBP3;9,41;3,80;20,21;3,71;1,77;46,64;31,99;20,77;13,12;12,89;-0,24;-0,07;4,20;35,66;-2,19;1,35;18,36;8,77;19,96;0,48;0,52;0,42;18,58;;35.582.976,18;2,54;0,47;-15,32;8.131.843.172,29
STKF3;0,00;;0,00;0,00;0,00;52,55;42,44;41,50;0,00;2,81;2,81;0,31;0,00;0,00;0,00;1,72;10,84;7,05;6,09;0,65;0,35;0,17;22,63;114,96;;5,70;0,62;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;54,20;2,15;4,21;1,72;0,51;42,65;37,39;38,93;4,39;7,94;3,55;1,39;1,64;2,91;-0,69;2,82;40,79;12,03;9,58;0,29;0,70;0,31;36,49;56,62;264.846.579,55;31,54;12,86;-0,64;71.767.174.733,00
